college,major,4_year,5_year,6_year
Anderson Schools of Management,Business Administration,18.80%,50.41%,58.04%
College of Arts and Sciences,Africana Studies,0.00%,0.00%,100.00%
College of Arts and Sciences,American Studies,0.00%,66.67%,66.67%
College of Arts and Sciences,Anthropology,19.44%,50.00%,63.89%
College of Arts and Sciences,Art,0.00%,0.00%,0.00%
College of Arts and Sciences,Asian Studies,12.50%,37.50%,37.50%
College of Arts and Sciences,Astrophysics,0.00%,20.00%,60.00%
College of Arts and Sciences,Biochemistry,23.53%,47.06%,47.06%
College of Arts and Sciences,Biology,11.86%,37.71%,46.61%
College of Arts and Sciences,Chemistry,7.14%,21.43%,32.14%
College of Arts and Sciences,Classical Studies,0.00%,0.00%,100.00%
College of Arts and Sciences,Communication,21.15%,46.15%,55.77%
College of Arts and Sciences,Criminology,8.05%,39.08%,45.98%
College of Arts and Sciences,Earth & Planetary Sciences,0.00%,25.00%,25.00%
College of Arts and Sciences,Economics,16.67%,50.00%,58.33%
College of Arts and Sciences,Economics-Philosophy,0.00%,0.00%,0.00%
College of Arts and Sciences,English,13.64%,43.18%,53.41%
College of Arts and Sciences,English-Philosophy,0.00%,40.00%,80.00%
College of Arts and Sciences,Environmental Science,8.33%,33.33%,33.33%
College of Arts and Sciences,European Studies,50.00%,50.00%,50.00%
College of Arts and Sciences,French,0.00%,0.00%,0.00%
College of Arts and Sciences,General Science,0.00%,0.00%,0.00%
College of Arts and Sciences,Geography,25.00%,25.00%,25.00%
College of Arts and Sciences,German,50.00%,50.00%,100.00%
College of Arts and Sciences,"Health,Medicine & Human Values",66.67%,88.89%,88.89%
College of Arts and Sciences,History,15.09%,37.74%,49.06%
College of Arts and Sciences,International Studies,0.00%,0.00%,0.00%
College of Arts and Sciences,Journalism,100.00%,100.00%,100.00%
College of Arts and Sciences,Journalism & Mass Comm,16.47%,57.65%,65.88%
College of Arts and Sciences,Languages,11.11%,50.00%,55.56%
College of Arts and Sciences,Latin American Studies,14.29%,28.57%,28.57%
College of Arts and Sciences,Linguistics,26.67%,53.33%,60.00%
College of Arts and Sciences,Mass Communication,0.00%,50.00%,50.00%
College of Arts and Sciences,Mathematics,4.55%,40.91%,50.00%
College of Arts and Sciences,Philosophy,9.09%,36.36%,36.36%
College of Arts and Sciences,Physics,0.00%,57.14%,57.14%
College of Arts and Sciences,Physics & Astrophysics,25.00%,25.00%,25.00%
College of Arts and Sciences,Political Science,28.24%,62.35%,70.59%
College of Arts and Sciences,Psychology,12.78%,37.89%,51.10%
College of Arts and Sciences,Religious Studies,20.00%,60.00%,60.00%
College of Arts and Sciences,Russian,0.00%,33.33%,33.33%
College of Arts and Sciences,Signed Language Interpreting,10.00%,50.00%,70.00%
College of Arts and Sciences,Sociology,2.44%,46.34%,56.10%
College of Arts and Sciences,Spanish,14.29%,45.24%,57.14%
College of Arts and Sciences,Speech & Hearing Sciences,20.00%,60.00%,60.00%
College of Arts and Sciences,Statistics,0.00%,66.67%,66.67%
College of Education,Art Education,0.00%,0.00%,0.00%
College of Education,Athletic Training,5.26%,15.79%,21.05%
College of Education,Communicative Arts Composite,7.69%,61.54%,61.54%
College of Education,Early Childhood Multicult Ed,9.09%,27.27%,27.27%
College of Education,Earth Science Education,0.00%,50.00%,50.00%
College of Education,Elementary Education,7.95%,38.64%,53.41%
College of Education,Exercise Science,17.50%,52.50%,62.50%
College of Education,Family Studies,12.50%,50.00%,68.75%
College of Education,Health Education,0.00%,25.00%,37.50%
College of Education,Human Devel & Family Relations,33.33%,100.00%,100.00%
College of Education,Mathematics Education,33.33%,66.67%,100.00%
College of Education,Nutrition/Dietetics,15.79%,42.11%,47.37%
College of Education,Physical Education,0.00%,14.29%,14.29%
College of Education,Physical Science Education,0.00%,0.00%,50.00%
College of Education,Secondary Education,0.00%,100.00%,100.00%
College of Education,Social Studies Education,16.67%,50.00%,66.67%
College of Education,Special Education,20.00%,64.00%,76.00%
College of Education,Technology & Training,0.00%,0.00%,0.00%
College of Fine Arts,Art History,0.00%,100.00%,100.00%
College of Fine Arts,Art Studio,2.63%,31.58%,47.37%
College of Fine Arts,Dance,16.67%,16.67%,33.33%
College of Fine Arts,Design for Performance,0.00%,25.00%,50.00%
College of Fine Arts,Interdisc Film & Digital Media,0.00%,0.00%,0.00%
College of Fine Arts,Media Arts,16.22%,43.24%,45.95%
College of Fine Arts,Music,10.71%,28.57%,35.71%
College of Fine Arts,Music Education,0.00%,46.15%,76.92%
College of Fine Arts,Pre Art History,0.00%,0.00%,0.00%
College of Fine Arts,Pre Art Studio,0.00%,0.00%,0.00%
College of Fine Arts,Pre Music,0.00%,0.00%,0.00%
College of Fine Arts,Pre Music Education,0.00%,0.00%,0.00%
College of Fine Arts,Pre Theatre,0.00%,0.00%,0.00%
College of Fine Arts,Theatre,9.52%,19.05%,23.81%
College of Nursing,Nursing,15.38%,25.00%,27.88%
College of Pharmacy,Doctor of Pharmacy,30.91%,45.45%,50.91%
College of Pharmacy,Pharmacy,0.00%,0.00%,0.00%
School of Arch. and Planning,Architecture,16.95%,37.29%,45.76%
