college,major,4_year,5_year,6_year
Anderson Schools of Management,Business Administration,11.0600%,23.9600%,25.8100%
Anderson Schools of Management,Organizational Management,0%,0%,0%
College of Arts and Sciences,American Studies,0%,0%,0%
College of Arts and Sciences,Anthropology,23.0800%,38.4600%,38.4600%
College of Arts and Sciences,Art,0%,0%,0%
College of Arts and Sciences,Asian Studies,0%,0%,0%
College of Arts and Sciences,Astrophysics,0%,0%,0%
College of Arts and Sciences,Biology,3.5300%,12.3500%,16.4700%
College of Arts and Sciences,Chemistry,0%,0%,0%
College of Arts and Sciences,Classical Studies,0%,0%,0%
College of Arts and Sciences,Communication,5.5600%,5.5600%,5.5600%
College of Arts and Sciences,Comp Lit & Cultural Studies,0%,0%,0%
College of Arts and Sciences,Criminology,3.3300%,11.6700%,13.3300%
College of Arts and Sciences,Earth & Planetary Sciences,0%,16.6700%,16.6700%
College of Arts and Sciences,Economics,0%,0%,0%
College of Arts and Sciences,Economics-Philosophy,0%,0%,0%
College of Arts and Sciences,English,11.6300%,27.9100%,32.5600%
College of Arts and Sciences,Environmental Science,0%,0%,0%
College of Arts and Sciences,European Studies,0%,0%,0%
College of Arts and Sciences,General Science,0%,0%,0%
College of Arts and Sciences,Geography,0%,0%,0%
College of Arts and Sciences,German,0%,0%,0%
College of Arts and Sciences,History,8.00%,16.00%,24.00%
College of Arts and Sciences,Interdisciplinary,0%,0%,0%
College of Arts and Sciences,Journalism & Mass Comm,6.2500%,10.4200%,10.4200%
College of Arts and Sciences,Languages,0%,20.0%,20.0%
College of Arts and Sciences,Latin American Studies,25.00%,50.0%,50.0%
College of Arts and Sciences,Linguistics,10.0%,30.0%,30.0%
College of Arts and Sciences,Mathematics,0%,5.8800%,5.8800%
College of Arts and Sciences,Philosophy,6.0600%,9.0900%,9.0900%
College of Arts and Sciences,Physics,0%,9.0900%,9.0900%
College of Arts and Sciences,Physics & Astrophysics,0%,0%,0%
College of Arts and Sciences,Political Science,10.7100%,25.00%,30.3600%
College of Arts and Sciences,Psychology,6.00%,14.00%,18.00%
College of Arts and Sciences,Religious Studies,0%,0%,0%
College of Arts and Sciences,Russian Studies,0%,0%,0%
College of Arts and Sciences,Signed Language Interpreting,0%,0%,25.00%
College of Arts and Sciences,Sociology,0%,0%,0%
College of Arts and Sciences,Spanish,9.0900%,9.0900%,18.1800%
College of Arts and Sciences,Speech & Hearing Sciences,50.0%,50.0%,50.0%
College of Arts and Sciences,Statistics,0%,0%,0%
College of Arts and Sciences,Women Studies,0%,0%,0%
College of Education,Athletic Training,4.00%,8.00%,8.00%
College of Education,Bilingual Education,0%,0%,0%
College of Education,Communicative Arts Composite,0%,0%,0%
College of Education,Early Childhood Multicult Ed,25.00%,25.00%,25.00%
College of Education,Elementary Education,5.1700%,17.2400%,18.9700%
College of Education,Exercise Science,0%,20.0%,20.0%
College of Education,Family Studies,0%,0%,0%
College of Education,Health Education,0%,0%,0%
College of Education,Human Services,0%,0%,0%
College of Education,Nutrition/Dietetics,8.3300%,8.3300%,8.3300%
College of Education,Physical Education,0%,0%,0%
College of Education,Physical Science Education,0%,0%,0%
College of Education,Social Studies Education,0%,20.0%,20.0%
College of Education,Special Education,0%,0%,0%
College of Education,Theatre,0%,0%,0%
College of Fine Arts,Dance,0%,0%,0%
College of Fine Arts,Media Arts,8.700%,17.3900%,17.3900%
College of Fine Arts,Music,4.6900%,12.500%,14.0600%
College of Fine Arts,Theatre,9.0900%,13.6400%,13.6400%
College of Nursing,Nursing,5.600%,8.00%,8.800%
College of Pharmacy,Doctor of Pharmacy,8.9300%,8.9300%,8.9300%
College of Pharmacy,Pharmacy,0%,0%,0%
School of Arch. and Planning,Architecture,9.7800%,17.3900%,18.4800%
School of Arch. and Planning,Environmental Design,0%,50.0%,100%
School of Engineering,Chemical Engineering,0%,0%,0%
School of Engineering,Civil Engineering,0%,0%,0%
School of Engineering,Computer Engineering,0%,0%,0%
School of Engineering,Computer Science,0%,0%,0%
School of Engineering,Construction Engineering,0%,0%,0%
School of Engineering,Electrical Engineering,0%,0%,7.1400%
School of Engineering,General Engineering,0%,0%,0%
School of Engineering,Mechanical Engineering,9.6800%,16.1300%,19.3500%
School of Engineering,Nuclear Engineering,11.1100%,11.1100%,11.1100%
School of Medicine,Dental Hygiene,0%,0%,5.00%
School of Medicine,Emergency Medical Services,0%,12.500%,12.500%
School of Medicine,Medical Laboratory Sciences,0%,6.6700%,13.3300%
School of Medicine,Nuclear Medicine Imaging,0%,0%,0%
School of Medicine,Physician Assistant Studies,0%,0%,0%
School of Medicine,Radiography,0%,0%,0%
University College,Undecided,0%,0%,0%
University College,University Studies,0%,0%,0%
