college,major,4_year,5_year,6_year
Anderson Schools of Management,Business Administration,18.65%,45.26%,52.91%
College of Arts and Sciences,Africana Studies,0.00%,0.00%,0.00%
College of Arts and Sciences,American Studies,0.00%,0.00%,0.00%
College of Arts and Sciences,Anthropology,14.29%,45.24%,59.52%
College of Arts and Sciences,Art,0.00%,0.00%,14.29%
College of Arts and Sciences,Asian Studies,25.00%,75.00%,75.00%
College of Arts and Sciences,Astrophysics,0.00%,0.00%,0.00%
College of Arts and Sciences,Biochemistry,41.67%,66.67%,70.83%
College of Arts and Sciences,Biology,15.57%,40.09%,50.47%
College of Arts and Sciences,Chemistry,5.71%,22.86%,34.29%
College of Arts and Sciences,Classical Studies,25.00%,50.00%,75.00%
College of Arts and Sciences,Communication,14.89%,46.81%,57.45%
College of Arts and Sciences,Criminology,13.04%,36.96%,46.74%
College of Arts and Sciences,Earth & Planetary Sciences,16.67%,33.33%,50.00%
College of Arts and Sciences,Economics,17.65%,41.18%,50.00%
College of Arts and Sciences,Economics-Philosophy,0.00%,0.00%,0.00%
College of Arts and Sciences,English,14.44%,42.22%,55.56%
College of Arts and Sciences,English-Philosophy,50.00%,75.00%,75.00%
College of Arts and Sciences,Environmental Science,0.00%,18.75%,25.00%
College of Arts and Sciences,European Studies,0.00%,0.00%,0.00%
College of Arts and Sciences,French,0.00%,0.00%,100.00%
College of Arts and Sciences,Geography,33.33%,83.33%,83.33%
College of Arts and Sciences,"Health,Medicine & Human Values",100.00%,100.00%,100.00%
College of Arts and Sciences,History,12.20%,34.15%,39.02%
College of Arts and Sciences,International Studies,0.00%,40.00%,40.00%
College of Arts and Sciences,Journalism,0.00%,0.00%,0.00%
College of Arts and Sciences,Journalism & Mass Comm,21.43%,57.14%,68.37%
College of Arts and Sciences,Languages,19.05%,57.14%,76.19%
College of Arts and Sciences,Latin American Studies,11.11%,55.56%,66.67%
College of Arts and Sciences,Linguistics,0.00%,66.67%,83.33%
College of Arts and Sciences,Mass Communication,33.33%,33.33%,33.33%
College of Arts and Sciences,Mathematics,13.04%,26.09%,34.78%
College of Arts and Sciences,Philosophy,50.00%,50.00%,75.00%
College of Arts and Sciences,Physics,15.38%,53.85%,61.54%
College of Arts and Sciences,Physics & Astrophysics,0.00%,0.00%,0.00%
College of Arts and Sciences,Political Science,31.88%,52.17%,57.97%
College of Arts and Sciences,Psychology,14.04%,48.51%,55.32%
College of Arts and Sciences,Religious Studies,0.00%,0.00%,33.33%
College of Arts and Sciences,Signed Language Interpreting,0.00%,40.00%,40.00%
College of Arts and Sciences,Sociology,16.13%,61.29%,67.74%
College of Arts and Sciences,Spanish,12.12%,45.45%,51.52%
College of Arts and Sciences,Speech & Hearing Sciences,23.53%,76.47%,76.47%
College of Arts and Sciences,Statistics,100.00%,100.00%,100.00%
College of Arts and Sciences,Women Studies,0.00%,50.00%,100.00%
College of Education,Art Education,0.00%,25.00%,25.00%
College of Education,Athletic Training,5.88%,5.88%,5.88%
College of Education,Communicative Arts Composite,66.67%,66.67%,66.67%
College of Education,Early Childhood Multicult Ed,0.00%,0.00%,9.09%
College of Education,Elementary Education,11.76%,42.16%,54.90%
College of Education,Exercise Science,8.33%,38.89%,55.56%
College of Education,Family Studies,16.67%,50.00%,58.33%
College of Education,Health Education,0.00%,33.33%,50.00%
College of Education,Human Devel & Family Relations,16.67%,66.67%,66.67%
College of Education,Mathematics Education,100.00%,100.00%,100.00%
College of Education,Nutrition/Dietetics,20.00%,44.00%,52.00%
College of Education,Physical Education,0.00%,9.09%,18.18%
College of Education,Secondary Education,17.39%,73.91%,82.61%
College of Education,Social Studies Education,0.00%,16.67%,16.67%
College of Education,Special Education,38.89%,83.33%,88.89%
College of Education,Technology & Training,0.00%,0.00%,0.00%
College of Fine Arts,Art History,0.00%,0.00%,0.00%
College of Fine Arts,Art Studio,15.91%,40.91%,52.27%
College of Fine Arts,Dance,18.18%,36.36%,36.36%
College of Fine Arts,Design for Performance,25.00%,25.00%,50.00%
College of Fine Arts,Interdisc Film & Digital Media,0.00%,0.00%,100.00%
College of Fine Arts,Media Arts,20.00%,53.33%,64.44%
College of Fine Arts,Music,20.69%,41.38%,41.38%
College of Fine Arts,Music Education,0.00%,10.00%,70.00%
College of Fine Arts,Pre Art Studio,0.00%,33.33%,33.33%
