college,major,4_year,5_year,6_year
Anderson Schools of Management,Business Administration,7.6600%,20.1600%,22.5800%
College of Arts and Sciences,American Studies,0%,0%,0%
College of Arts and Sciences,Anthropology,21.0500%,31.5800%,36.8400%
College of Arts and Sciences,Art,0%,0%,0%
College of Arts and Sciences,Asian Studies,0%,0%,0%
College of Arts and Sciences,Astrophysics,0%,0%,0%
College of Arts and Sciences,Biochemistry,10.0%,16.6700%,16.6700%
College of Arts and Sciences,Biology,6.4700%,18.8200%,22.3500%
College of Arts and Sciences,Chemistry,0%,3.0300%,3.0300%
College of Arts and Sciences,Classical Studies,0%,0%,0%
College of Arts and Sciences,Communication,0%,0%,0%
College of Arts and Sciences,Comp Lit & Cultural Studies,0%,0%,0%
College of Arts and Sciences,Criminology,6.2500%,12.500%,17.1900%
College of Arts and Sciences,Earth & Planetary Sciences,0%,0%,0%
College of Arts and Sciences,Economics,16.6700%,16.6700%,16.6700%
College of Arts and Sciences,English,5.7100%,8.5700%,8.5700%
College of Arts and Sciences,English-Philosophy,14.2900%,14.2900%,14.2900%
College of Arts and Sciences,Environmental Science,0%,9.0900%,9.0900%
College of Arts and Sciences,European Studies,0%,0%,0%
College of Arts and Sciences,French,0%,0%,50.0%
College of Arts and Sciences,Geography,100%,100%,100%
College of Arts and Sciences,History,0%,4.5500%,4.5500%
College of Arts and Sciences,Interdisciplinary,0%,0%,0%
College of Arts and Sciences,Journalism,0%,0%,0%
College of Arts and Sciences,Journalism & Mass Comm,10.0%,27.500%,30.0%
College of Arts and Sciences,Languages,0%,50.0%,50.0%
College of Arts and Sciences,Latin American Studies,50.0%,50.0%,50.0%
College of Arts and Sciences,Linguistics,0%,14.2900%,14.2900%
College of Arts and Sciences,Mass Communication,0%,0%,0%
College of Arts and Sciences,Mathematics,0%,0%,0%
College of Arts and Sciences,Philosophy,20.0%,20.0%,20.0%
College of Arts and Sciences,Physics,12.500%,25.00%,25.00%
College of Arts and Sciences,Physics & Astrophysics,0%,0%,0%
College of Arts and Sciences,Political Science,13.6400%,20.4500%,22.7300%
College of Arts and Sciences,Portuguese,0%,0%,0%
College of Arts and Sciences,Psychology,8.3300%,29.1700%,34.3800%
College of Arts and Sciences,Religious Studies,0%,0%,0%
College of Arts and Sciences,Signed Language Interpreting,0%,0%,0%
College of Arts and Sciences,Sociology,0%,0%,0%
College of Arts and Sciences,Spanish,0%,14.2900%,14.2900%
College of Arts and Sciences,Speech & Hearing Sciences,40.0%,80.0%,80.0%
College of Arts and Sciences,Statistics,50.0%,50.0%,50.0%
College of Arts and Sciences,Women Studies,0%,0%,0%
College of Education,Art Education,0%,20.0%,20.0%
College of Education,Athletic Training,0%,0%,0%
College of Education,Bilingual Education,0%,0%,0%
College of Education,Communicative Arts Composite,25.00%,25.00%,25.00%
College of Education,Early Childhood Multicult Ed,0%,0%,0%
College of Education,Elementary Education,3.700%,20.3700%,27.7800%
College of Education,Exercise Science,0%,12.500%,18.7500%
College of Education,Family Studies,0%,0%,0%
College of Education,Health Education,0%,0%,0%
College of Education,Human Devel & Family Relations,0%,0%,0%
College of Education,Life Science Education,0%,0%,0%
College of Education,Mathematics Education,0%,0%,0%
College of Education,Nutrition/Dietetics,7.6900%,15.3800%,15.3800%
College of Education,Physical Education,0%,0%,0%
College of Education,Physical Science Education,0%,0%,0%
College of Education,Social Studies Education,0%,0%,0%
College of Education,Special Education,0%,0%,0%
College of Education,Technology & Training,0%,0%,0%
College of Fine Arts,Art History,0%,0%,0%
College of Fine Arts,Art Studio,13.3300%,20.0%,20.0%
College of Fine Arts,Dance,7.1400%,14.2900%,14.2900%
College of Fine Arts,Design for Performance,0%,0%,0%
College of Fine Arts,Media Arts,7.4100%,14.8100%,18.5200%
College of Fine Arts,Music,11.4300%,17.1400%,17.1400%
College of Fine Arts,Music Education,0%,0%,26.6700%
College of Fine Arts,Theatre,12.900%,25.8100%,25.8100%
College of Nursing,Nursing,7.3500%,9.5600%,10.2900%
College of Pharmacy,Doctor of Pharmacy,10.8400%,14.4600%,14.4600%
College of Pharmacy,Pharmacy,0%,0%,0%
School of Arch. and Planning,Architecture,1.6900%,8.4700%,13.5600%
School of Arch. and Planning,Environmental Design,33.3300%,33.3300%,33.3300%
School of Engineering,Civil Engineering,0%,0%,0%
School of Engineering,Computer Engineering,0%,0%,0%
School of Engineering,Computer Science,0%,3.3300%,10.0%
School of Engineering,Construction Engineering,0%,0%,0%
School of Engineering,Construction Management,0%,0%,0%
School of Engineering,Electrical Engineering,0%,0%,0%
School of Engineering,General Engineering,0%,1.5200%,1.5200%
School of Engineering,Manufacturing Eng and Robotics,0%,0%,0%
School of Engineering,Mechanical Engineering,0%,3.1300%,12.500%
School of Engineering,Nuclear Engineering,25.00%,25.00%,25.00%
School of Medicine,Dental Hygiene,0%,3.1300%,3.1300%
School of Medicine,Emergency Medical Services,0%,0%,0%
School of Medicine,Medical Laboratory Sciences,0%,0%,0%
School of Medicine,Physician Assistant Studies,0%,0%,0%
School of Medicine,Radiologic Sciences,0%,0%,0%
University College,Native American Studies,50.0%,50.0%,50.0%
University College,Undecided,0%,0%,0%
University College,University Studies,0%,4.7600%,4.7600%
